Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.46386125,-9.976603546,-3.940555573,14.89821899,18.35803709
3.47389425,-10.0183667,-3.318449249,14.41547287,17.86576712
3.48392625,-9.614506531,-2.422562256,13.54473358,16.78592719
3.49395925,-9.090745697,-1.504820709,12.58028915,15.59390323
3.50399225,-8.602910156,-0.705632629,11.82106796,14.63713183
3.51402525,-8.073760529,0.008981323,11.37319931,13.94759306
3.52405825,-7.490423584,0.610131226,11.37484589,13.6332617
3.534091042,-7.009473724,1.106349335,11.72915909,13.70875281
3.544124042,-6.675667877,1.848805389,12.29183899,14.10928519
3.554156042,-6.291716309,2.801574097,12.70018982,14.44746805
3.564189042,-5.874234467,3.576063538,13.25284058,14.93092912
3.574222042,-5.051844635,4.011508026,13.78663055,15.22118632
3.584255042,-3.977378998,4.121678925,14.48747314,15.57866037
3.594288042,-2.471959534,3.981420593,14.94911316,15.66646987
3.604321042,-0.857416992,3.66587677,15.2657048,15.72309001
3.614354042,0.29608429,3.763773193,15.3240834,15.78230613
3.624386042,0.639021149,4.368365936,15.46179703,16.07974304
3.634419042,0.448018341,4.869972839,15.8244928,16.56296858
3.644452042,0.153880005,4.833748169,16.21907227,16.92474832
3.654485042,-0.104033661,4.267625427,16.59314438,17.1334728
3.664518042,-0.456849976,3.268602905,16.94087128,17.25936257
3.674551042,-1.098565521,2.435435486,16.6525708,16.86553606
3.684584042,-1.815275116,2.374362488,15.34743484,15.63574678
3.694616042,-2.734363861,2.870430908,13.90054367,14.45479968
3.704649042,-3.825594635,3.101550293,13.28592178,14.16935094
3.714682042,-5.169949036,2.838547211,13.9333255,15.13021093
3.724715042,-6.502627716,1.73174881,15.69186859,17.07389414
3.734748042,-8.027057648,-0.273331604,17.99647614,19.70739754
3.744781042,-10.26894562,-2.953208771,20.72634933,23.31853861
3.754813042,-12.60304184,-5.473068695,22.20736954,26.11433335
3.764846042,-14.1324115,-6.523135071,21.25250519,26.34284196
3.774879042,-14.80092133,-5.839207306,18.49389175,24.39646791
3.784912042,-15.13098495,-4.884043579,15.8881105,22.47738069
3.794945042,-14.9446225,-4.376449127,13.9226976,20.88867054
3.804978042,-14.52624252,-4.090393982,12.72473877,19.7398587
3.815011042,-14.32116898,-3.813918915,12.31444199,19.26881781
3.825043042,-14.35739365,-3.586092682,12.54945328,19.40318506
3.835076042,-14.52684128,-3.422033844,13.32798431,20.00936278
3.845109042,-14.71320374,-3.612138519,14.08076889,20.68318064
3.855142042,-14.54555237,-3.74655899,14.19064041,20.66359294
3.865175042,-13.68080063,-3.303779755,13.75609406,19.68017759
3.875208042,-12.3726709,-2.75082962,13.24505676,18.33252785
3.885241042,-11.44310394,-2.347119141,13.09851151,17.55062961
3.895273042,-10.91859467,-2.106868744,13.2432605,17.29273125
3.905306042,-10.41339523,-2.070494385,13.43067078,17.12041661
3.915339042,-9.993518372,-2.240989838,13.53006409,16.9692392
3.925372042,-9.626631317,-2.66191452,13.55625961,16.83834891
3.935405042,-9.16993103,-3.250340881,13.36899902,16.53428214
3.945438042,-8.791667633,-3.861669617,13.02456528,16.18163195
3.955470042,-8.57207428,-4.565955048,12.6022934,15.91056887
3.965503042,-8.584199066,-5.030888214,12.04964264,15.62665023
3.975536042,-8.642877045,-5.340145111,11.44714554,15.30534594
3.985569042,-8.622818756,-5.615871735,10.80572937,14.92162209
3.995602042,-8.683143311,-5.920787659,10.47297134,14.8369752
4.005635042,-8.793912964,-6.309828644,10.47042664,15.0591061
4.015668042,-8.948092346,-6.623576202,10.6792424,15.42680578
4.025700042,-9.077124023,-6.760990448,11.01244949,15.79174519
4.035733042,-8.937314758,-6.700216827,11.16573074,15.79373432
4.045766042,-8.511600037,-6.716383209,11.11094467,15.52450418
4.055799042,-7.966882782,-6.612050171,10.82878143,14.98175344
4.065832042,-7.439080353,-6.361171875,10.56158707,14.39970644
